date	shift	material_type	number	weight_kg	original_date
7/27/2025	day	liquid-ctu	220-ctu	1060	27/7/2025
7/27/2025	day	liquid-ctu	221-ctu	1060	27/7/2025
7/27/2025	day	liquid-ctu	222-ctu	1060	27/7/2025
7/27/2025	day	liquid-ctu	223-ctu	1060	27/7/2025
7/27/2025	day	liquid-ctu	224-ctu	1060	27/7/2025
7/27/2025	day	liquid-ctu	225-ctu	1060	27/7/2025
7/27/2025	day	liquid-ctu	226-ctu	1060	27/7/2025
7/27/2025	night	liquid-ctu	227-ctu	1090	27/7/2025
7/27/2025	night	liquid-ctu	228-ctu	1040	27/7/2025
7/27/2025	night	liquid-ctu	229-ctu	1030	27/7/2025
7/27/2025	night	liquid-ctu	230-ctu	1060	27/7/2025
7/27/2025	night	liquid-ctu	231-ctu	1010	27/7/2025
7/27/2025	night	liquid-ctu	232-ctu	950	27/7/2025
7/27/2025	night	liquid-ctu	233-ctu	1020	27/7/2025
7/27/2025	night	liquid-ctu	234-ctu	1040	27/7/2025
7/28/2025	day	liquid-ctu	235-ctu	990	28/7/2025
7/28/2025	day	liquid-ctu	236-ctu	1050	28/7/2025
7/28/2025	day	liquid-ctu	237-ctu	1060	28/7/2025
7/28/2025	day	liquid-ctu	238-ctu	1060	28/7/2025
7/28/2025	day	liquid-ctu	239-ctu	1090	28/7/2025
7/28/2025	day	liquid-ctu	240-ctu	1090	28/7/2025
7/28/2025	day	liquid-ctu	241-ctu	1040	28/7/2025
7/28/2025	day	liquid-ctu	242-ctu	1090	28/7/2025
7/28/2025	day	liquid-ctu	243-ctu	1090	28/7/2025
7/28/2025	day	liquid-ctu	244-ctu	1060	28/7/2025
7/28/2025	night	liquid-ctu	245-ctu	1020	28/7/2025
7/28/2025	night	liquid-ctu	246-ctu	1010	28/7/2025
7/28/2025	night	liquid-ctu	247-ctu	1040	28/7/2025
7/28/2025	night	liquid-ctu	248-ctu	1070	28/7/2025
7/28/2025	night	liquid-ctu	249-ctu	1010	28/7/2025
7/28/2025	night	liquid-ctu	250-ctu	990	28/7/2025
7/28/2025	night	liquid-ctu	251-ctu	1040	28/7/2025
7/28/2025	night	liquid-ctu	252-ctu	960	28/7/2025
7/28/2025	night	liquid-ctu	253-ctu	1020	28/7/2025
7/28/2025	night	liquid-ctu	254-ctu	1010	28/7/2025
7/29/2025	day	liquid-ctu	255-ctu	1070	29/7/2025
7/29/2025	day	liquid-ctu	256-ctu	1060	29/7/2025
7/29/2025	day	liquid-ctu	257-ctu	1060	29/7/2025
7/29/2025	day	liquid-ctu	258-ctu	1080	29/7/2025
7/29/2025	day	liquid-ctu	259-ctu	1140	29/7/2025
7/29/2025	day	liquid-ctu	260-ctu	1010	29/7/2025
7/29/2025	day	liquid-ctu	261-ctu	1130	29/7/2025
7/29/2025	day	liquid-ctu	262-ctu	1120	29/7/2025
7/29/2025	day	liquid-ctu	263-ctu	1120	29/7/2025
7/29/2025	day	liquid-ctu	264-ctu	1090	29/7/2025
7/29/2025	night	liquid-ctu	265-ctu	1040	29/7/2025
7/29/2025	night	liquid-ctu	266-ctu	1060	29/7/2025
7/29/2025	night	liquid-ctu	267-ctu	1060	29/7/2025
7/29/2025	night	liquid-ctu	268-ctu	780	29/7/2025
7/29/2025	night	liquid-ctu	269-ctu	1050	29/7/2025
7/29/2025	night	liquid-ctu	270-ctu	1050	29/7/2025
7/29/2025	night	liquid-ctu	271-ctu	1040	29/7/2025
7/29/2025	night	liquid-ctu	272-ctu	1050	29/7/2025
7/30/2025	day	liquid-ctu	273-ctu	1120	30/7/2025
7/30/2025	day	liquid-ctu	274-ctu	1120	30/7/2025
7/30/2025	day	liquid-ctu	275-ctu	1140	30/7/2025
7/30/2025	day	liquid-ctu	276-ctu	1140	30/7/2025
7/30/2025	day	liquid-ctu	277-ctu	1110	30/7/2025
7/30/2025	day	liquid-ctu	278-ctu	1080	30/7/2025
7/30/2025	day	liquid-ctu	279-ctu	1080	30/7/2025
7/30/2025	day	liquid-ctu	280-ctu	1080	30/7/2025
7/30/2025	night	liquid-ctu	281-ctu	1090	30/7/2025
7/30/2025	night	liquid-ctu	282-ctu	1000	30/7/2025
7/30/2025	night	liquid-ctu	283-ctu	1040	30/7/2025
7/30/2025	night	liquid-ctu	284-ctu	1010	30/7/2025
7/30/2025	night	liquid-ctu	285-ctu	1000	30/7/2025
7/30/2025	night	liquid-ctu	286-ctu	1040	30/7/2025
7/30/2025	night	liquid-ctu	287-ctu	1040	30/7/2025
7/31/2025	day	liquid-ctu	288-ctu	1040	31/7/2025
7/31/2025	day	liquid-ctu	289-ctu	1060	31/7/2025
7/31/2025	day	liquid-ctu	290-ctu	1040	31/7/2025
7/31/2025	day	liquid-ctu	291-ctu	1080	31/7/2025
7/31/2025	day	liquid-ctu	292-ctu	1120	31/7/2025
7/31/2025	day	liquid-ctu	293-ctu	1140	31/7/2025
7/31/2025	day	liquid-ctu	294-ctu	1090	31/7/2025
7/31/2025	day	liquid-ctu	295-ctu	1090	31/7/2025
7/31/2025	day	liquid-ctu	296-ctu	1070	31/7/2025
7/31/2025	day	liquid-ctu	297-ctu	1120	31/7/2025
7/31/2025	night	liquid-ctu	298-ctu	1130	31/7/2025
7/31/2025	night	liquid-ctu	299-ctu	1100	31/7/2025
7/31/2025	night	liquid-ctu	300-ctu	1020	31/7/2025
7/31/2025	night	liquid-ctu	301-ctu	1060	31/7/2025
7/31/2025	night	liquid-ctu	302-ctu	1050	31/7/2025
7/31/2025	night	liquid-ctu	303-ctu	1000	31/7/2025
7/31/2025	night	liquid-ctu	304-ctu	1100	31/7/2025
7/31/2025	night	liquid-ctu	305-ctu	1020	31/7/2025
7/31/2025	night	liquid-ctu	306-ctu	1100	31/7/2025
8/1/2025	day	liquid-ctu	307-ctu	1140	1/8/2025
8/1/2025	day	liquid-ctu	308-ctu	1120	1/8/2025
8/1/2025	day	liquid-ctu	309-ctu	1090	1/8/2025
8/1/2025	day	liquid-ctu	310-ctu	1090	1/8/2025
8/1/2025	day	liquid-ctu	311-ctu	1080	1/8/2025
8/1/2025	day	liquid-ctu	312-ctu	1080	1/8/2025
8/1/2025	day	liquid-ctu	313-ctu	1060	1/8/2025
8/1/2025	day	liquid-ctu	314-ctu	1090	1/8/2025
8/1/2025	night	liquid-ctu	315-ctu	1060	1/8/2025
8/1/2025	night	liquid-ctu	316-ctu	1060	1/8/2025
8/1/2025	night	liquid-ctu	317-ctu	1050	1/8/2025
8/1/2025	night	liquid-ctu	318-ctu	1140	1/8/2025
8/1/2025	night	liquid-ctu	319-ctu	1070	1/8/2025
8/1/2025	night	liquid-ctu	320-ctu	1040	1/8/2025
8/1/2025	night	liquid-ctu	321-ctu	1060	1/8/2025
8/1/2025	night	liquid-ctu	322-ctu	1090	1/8/2025
8/2/2025	day	liquid-ctu	323-ctu	1080	2/8/2025
8/2/2025	day	liquid-ctu	324-ctu	1090	2/8/2025
8/2/2025	day	liquid-ctu	325-ctu	1080	2/8/2025
8/2/2025	day	liquid-ctu	326-ctu	1010	2/8/2025
8/2/2025	day	liquid-ctu	327-ctu	1070	2/8/2025
8/2/2025	day	liquid-ctu	328-ctu	1080	2/8/2025
8/2/2025	day	liquid-ctu	329-ctu	1080	2/8/2025
8/2/2025	day	liquid-ctu	330-ctu	1090	2/8/2025
8/2/2025	night	liquid-ctu	331-ctu	1070	2/8/2025
8/2/2025	night	liquid-ctu	332-ctu	1040	2/8/2025
8/2/2025	night	liquid-ctu	333-ctu	1060	2/8/2025
8/2/2025	night	liquid-ctu	334-ctu	1050	2/8/2025
8/2/2025	night	liquid-ctu	335-ctu	1020	2/8/2025
8/2/2025	night	liquid-ctu	336-ctu	1060	2/8/2025
8/2/2025	night	liquid-ctu	337-ctu	1030	2/8/2025
8/2/2025	night	liquid-ctu	338-ctu	1070	2/8/2025
8/3/2025	day	liquid-ctu	339-ctu	1070	3/8/2025
8/3/2025	day	liquid-ctu	340-ctu	1090	3/8/2025
8/3/2025	day	liquid-ctu	341-ctu	1060	3/8/2025
8/3/2025	day	liquid-ctu	342-ctu	1120	3/8/2025
8/3/2025	day	liquid-ctu	343-ctu	1090	3/8/2025
8/3/2025	day	liquid-ctu	344-ctu	1080	3/8/2025
8/3/2025	day	liquid-ctu	345-ctu	1090	3/8/2025
8/3/2025	day	liquid-ctu	346-ctu	1060	3/8/2025
8/3/2025	night	liquid-ctu	347-ctu	1110	3/8/2025
8/3/2025	night	liquid-ctu	348-ctu	1020	3/8/2025
8/3/2025	night	liquid-ctu	349-ctu	1080	3/8/2025
8/3/2025	night	liquid-ctu	350-ctu	1090	3/8/2025
8/3/2025	night	liquid-ctu	351-ctu	990	3/8/2025
8/3/2025	night	liquid-ctu	352-ctu	1030	3/8/2025
8/3/2025	night	liquid-ctu	353-ctu	1040	3/8/2025
8/3/2025	night	liquid-ctu	354-ctu	1070	3/8/2025
8/4/2025	day	liquid-ctu	355-ctu	1090	4/8/2025
8/4/2025	day	liquid-ctu	356-ctu	1010	4/8/2025
8/4/2025	day	liquid-ctu	357-ctu	1090	4/8/2025
8/4/2025	day	liquid-ctu	358-ctu	1060	4/8/2025
8/4/2025	day	liquid-ctu	359-ctu	1080	4/8/2025
8/4/2025	day	liquid-ctu	360-ctu	1090	4/8/2025
8/4/2025	day	liquid-ctu	361-ctu	1070	4/8/2025
8/4/2025	day	liquid-ctu	362-ctu	1070	4/8/2025
8/4/2025	day	liquid-ctu	363-ctu	1070	4/8/2025
8/4/2025	night	liquid-ctu	364-ctu	1090	4/8/2025
8/4/2025	night	liquid-ctu	365-ctu	1110	4/8/2025
8/4/2025	night	liquid-ctu	366-ctu	1060	4/8/2025
8/4/2025	night	liquid-ctu	367-ctu	1020	4/8/2025
8/5/2025	day	liquid-ctu	368-ctu	1090	5/8/2025
8/5/2025	night	liquid-ctu	369-ctu	1040	5/8/2025
8/5/2025	night	liquid-ctu	370-ctu	1090	5/8/2025
8/5/2025	night	liquid-ctu	371-ctu	1090	5/8/2025
8/5/2025	night	liquid-ctu	372-ctu	1010	5/8/2025
8/5/2025	night	liquid-ctu	373-ctu	1040	5/8/2025
8/5/2025	night	liquid-ctu	374-ctu	1140	5/8/2025
8/5/2025	night	liquid-ctu	375-ctu	1080	5/8/2025
8/5/2025	night	liquid-ctu	376-ctu	1030	5/8/2025
8/6/2025	day	liquid-ctu	377-ctu	1070	6/8/2025
8/6/2025	day	liquid-ctu	378-ctu	1090	6/8/2025
8/6/2025	day	liquid-ctu	379-ctu	1040	6/8/2025
8/6/2025	day	liquid-ctu	380-ctu	1080	6/8/2025
8/6/2025	day	liquid-ctu	381-ctu	1060	6/8/2025
8/6/2025	day	liquid-ctu	382-ctu	1080	6/8/2025
8/6/2025	day	liquid-ctu	383-ctu	1060	6/8/2025
8/6/2025	day	liquid-ctu	384-ctu	1120	6/8/2025
8/6/2025	day	liquid-ctu	385-ctu	1120	6/8/2025
8/6/2025	day	liquid-ctu	386-ctu	1120	6/8/2025
8/6/2025	night	liquid-ctu	387-ctu	1140	6/8/2025
8/6/2025	night	liquid-ctu	388-ctu	1130	6/8/2025
8/6/2025	night	liquid-ctu	389-ctu	1060	6/8/2025
8/6/2025	night	liquid-ctu	390-ctu	1110	6/8/2025
8/6/2025	night	liquid-ctu	391-ctu	1050	6/8/2025
8/6/2025	night	liquid-ctu	392-ctu	1080	6/8/2025
8/6/2025	night	liquid-ctu	393-ctu	1090	6/8/2025
8/6/2025	night	liquid-ctu	394-ctu	1060	6/8/2025
8/6/2025	night	liquid-ctu	395-ctu	1140	6/8/2025
8/7/2025	day	liquid-ctu	396-ctu	1120	7/8/2025
8/7/2025	day	liquid-ctu	397-ctu	1140	7/8/2025
8/7/2025	day	liquid-ctu	398-ctu	1090	7/8/2025
8/7/2025	day	liquid-ctu	399-ctu	1140	7/8/2025
8/7/2025	day	liquid-ctu	400-ctu	1120	7/8/2025
8/7/2025	day	liquid-ctu	401-ctu	1090	7/8/2025
8/7/2025	day	liquid-ctu	402-ctu	1080	7/8/2025
8/7/2025	day	liquid-ctu	403-ctu	1070	7/8/2025
8/7/2025	day	liquid-ctu	404-ctu	1080	7/8/2025
8/7/2025	day	liquid-ctu	405-ctu	1090	7/8/2025
8/7/2025	night	liquid-ctu	406-ctu	1040	7/8/2025
8/7/2025	night	liquid-ctu	407-ctu	1060	7/8/2025
8/7/2025	night	liquid-ctu	408-ctu	1040	7/8/2025
8/7/2025	night	liquid-ctu	409-ctu	1140	7/8/2025
8/7/2025	night	liquid-ctu	410-ctu	1050	7/8/2025
8/7/2025	night	liquid-ctu	411-ctu	1020	7/8/2025
8/7/2025	night	liquid-ctu	412-ctu	1030	7/8/2025
8/7/2025	night	liquid-ctu	413-ctu	1120	7/8/2025
8/7/2025	night	liquid-ctu	414-ctu	1020	7/8/2025
8/7/2025	night	liquid-ctu	415-ctu	1060	7/8/2025
8/8/2025	day	liquid-ctu	416-ctu	1010	8/8/2025
8/8/2025	day	liquid-ctu	417-ctu	1010	8/8/2025
8/8/2025	day	liquid-ctu	418-ctu	1050	8/8/2025
8/8/2025	day	liquid-ctu	419-ctu	1050	8/8/2025
8/8/2025	day	liquid-ctu	420-ctu	1050	8/8/2025
8/8/2025	day	liquid-ctu	421-ctu	1040	8/8/2025
8/8/2025	day	liquid-ctu	422-ctu	1050	8/8/2025
8/8/2025	day	liquid-ctu	423-ctu	1060	8/8/2025
8/8/2025	day	liquid-ctu	424-ctu	1060	8/8/2025
8/8/2025	day	liquid-ctu	425-ctu	1060	8/8/2025
8/8/2025	night	liquid-ctu	426-ctu	1030	8/8/2025
8/8/2025	night	liquid-ctu	427-ctu	980	8/8/2025
8/8/2025	night	liquid-ctu	428-ctu	1060	8/8/2025
8/8/2025	night	liquid-ctu	429-ctu	1050	8/8/2025
8/8/2025	night	liquid-ctu	430-ctu	1080	8/8/2025
8/8/2025	night	liquid-ctu	431-ctu	1030	8/8/2025
8/8/2025	night	liquid-ctu	432-ctu	1060	8/8/2025
8/8/2025	night	liquid-ctu	433-ctu	1090	8/8/2025
8/8/2025	night	liquid-ctu	434-ctu	990	8/8/2025
8/8/2025	night	liquid-ctu	435-ctu	1140	8/8/2025
8/8/2025	night	liquid-ctu	436-ctu	1010	8/8/2025
8/8/2025	night	liquid-ctu	437-ctu	1070	8/8/2025
8/8/2025	night	liquid-ctu	438-ctu	1010	8/8/2025
8/9/2025	day	liquid-ctu	439-ctu	1090	9/8/2025
8/9/2025	day	liquid-ctu	440-ctu	1070	9/8/2025
8/9/2025	day	liquid-ctu	441-ctu	1040	9/8/2025
8/9/2025	day	liquid-ctu	442-ctu	1070	9/8/2025
8/9/2025	day	liquid-ctu	443-ctu	1090	9/8/2025
8/9/2025	day	liquid-ctu	444-ctu	1010	9/8/2025
8/9/2025	day	liquid-ctu	445-ctu	1060	9/8/2025
8/9/2025	day	liquid-ctu	446-ctu	1060	9/8/2025
8/9/2025	day	liquid-ctu	447-ctu	1060	9/8/2025
8/9/2025	day	liquid-ctu	448-ctu	1060	9/8/2025
8/9/2025	day	liquid-ctu	449-ctu	1050	9/8/2025
8/9/2025	day	liquid-ctu	450-ctu	1030	9/8/2025
8/9/2025	night	liquid-ctu	451-ctu	1030	9/8/2025
8/9/2025	night	liquid-ctu	452-ctu	1120	9/8/2025
8/9/2025	night	liquid-ctu	453-ctu	1090	9/8/2025
8/9/2025	night	liquid-ctu	454-ctu	1080	9/8/2025
8/9/2025	night	liquid-ctu	455-ctu	1060	9/8/2025
8/9/2025	night	liquid-ctu	456-ctu	1090	9/8/2025
8/9/2025	night	liquid-ctu	457-ctu	1060	9/8/2025
8/9/2025	night	liquid-ctu	458-ctu	1080	9/8/2025
8/9/2025	night	liquid-ctu	459-ctu	1040	9/8/2025
8/9/2025	night	liquid-ctu	460-ctu	1050	9/8/2025
8/10/2025	day	liquid-ctu	461-ctu	1140	10/8/2025
8/10/2025	day	liquid-ctu	462-ctu	1070	10/8/2025
8/10/2025	day	liquid-ctu	463-ctu	1010	10/8/2025
8/10/2025	day	liquid-ctu	464-ctu	1060	10/8/2025
8/10/2025	day	liquid-ctu	465-ctu	1060	10/8/2025
8/10/2025	day	liquid-ctu	466-ctu	1060	10/8/2025
8/10/2025	day	liquid-ctu	467-ctu	1090	10/8/2025
8/10/2025	day	liquid-ctu	468-ctu	1010	10/8/2025
8/10/2025	day	liquid-ctu	469-ctu	1040	10/8/2025
8/10/2025	day	liquid-ctu	470-ctu	1020	10/8/2025
8/10/2025	night	liquid-ctu	471-ctu	1040	10/8/2025
8/10/2025	night	liquid-ctu	472-ctu	1030	10/8/2025
8/10/2025	night	liquid-ctu	473-ctu	1060	10/8/2025
8/10/2025	night	liquid-ctu	474-ctu	1090	10/8/2025
8/10/2025	night	liquid-ctu	475-ctu	1020	10/8/2025
8/10/2025	night	liquid-ctu	476-ctu	1060	10/8/2025
8/10/2025	night	liquid-ctu	477-ctu	1010	10/8/2025
8/10/2025	night	liquid-ctu	478-ctu	1100	10/8/2025
8/10/2025	night	liquid-ctu	479-ctu	1060	10/8/2025
8/10/2025	night	liquid-ctu	480-ctu	1090	10/8/2025
8/10/2025	night	liquid-ctu	481-ctu	1060	10/8/2025
8/10/2025	night	liquid-ctu	482-ctu	1010	10/8/2025
8/11/2025	day	liquid-ctu	483-ctu	1010	11/8/2025
8/11/2025	day	liquid-ctu	484-ctu	1040	11/8/2025
8/11/2025	day	liquid-ctu	485-ctu	1030	11/8/2025
8/11/2025	day	liquid-ctu	486-ctu	1040	11/8/2025
8/11/2025	day	liquid-ctu	487-ctu	980	11/8/2025
8/11/2025	day	liquid-ctu	488-ctu	1020	11/8/2025
8/11/2025	day	liquid-ctu	489-ctu	1040	11/8/2025
8/11/2025	day	liquid-ctu	490-ctu	1060	11/8/2025
8/11/2025	day	liquid-ctu	491-ctu	1010	11/8/2025
8/11/2025	night	liquid-ctu	492-ctu	1020	11/8/2025
8/11/2025	night	liquid-ctu	493-ctu	910	11/8/2025
8/11/2025	night	liquid-ctu	494-ctu	1070	11/8/2025
8/11/2025	night	liquid-ctu	495-ctu	880	11/8/2025
8/11/2025	night	liquid-ctu	496-ctu	1050	11/8/2025
8/11/2025	night	liquid-ctu	497-ctu	1050	11/8/2025
8/12/2025	day	liquid-ctu	498-ctu	1050	12/8/2025
8/12/2025	day	liquid-ctu	499-ctu	1040	12/8/2025
8/12/2025	day	liquid-ctu	500-ctu	1060	12/8/2025
8/12/2025	day	liquid-ctu	501-ctu	1010	12/8/2025
8/12/2025	day	liquid-ctu	502-ctu	1010	12/8/2025
8/12/2025	day	liquid-ctu	503-ctu	1020	12/8/2025
8/12/2025	day	liquid-ctu	504-ctu	1020	12/8/2025
8/12/2025	night	liquid-ctu	505-ctu	1020	12/8/2025
8/12/2025	night	liquid-ctu	506-ctu	960	12/8/2025
